produto_id,pedido_id,quantidade,valor_unitario,valor_total,estado,frete,id_nf
41518,341,3,260.0,780.0,BR-BA,156.0,1
4307,1174,5,6175.0,30875.0,BR-RJ,6175.0,2
22407,1399,3,200.0,600.0,BR-PB,120.0,3
3820,1652,6,139.0,834.0,BR-DF,1668.0,4
29012,2470,3,525.0,1575.0,BR-BA,315.0,5
72621,2980,3,179.0,537.0,BR-MG,1074.0,6
86243,3443,4,350.0,1400.0,BR-PR,280.0,7
29012,3557,5,525.0,2625.0,BR-MS,525.0,8
61071,3585,3,450.0,1350.0,BR-SP,270.0,9
100961,3687,2,480.0,960.0,BR-GO,192.0,10
45695,3722,5,240.0,1200.0,BR-AM,240.0,11
59337,3870,5,390.0,1950.0,BR-CE,390.0,12
79079,4004,4,320.0,1280.0,BR-RS,256.0,13
27336,4471,2,250.0,500.0,BR-AC,100.0,14
60010,5347,1,90.0,90.0,BR-RO,18.0,15
56571,6129,5,420.0,2100.0,BR-DF,420.0,16
3820,6355,4,139.0,556.0,BR-BA,1112.0,17
40508,7562,2,245.0,490.0,BR-MT,98.0,18
57708,8077,4,990.0,3960.0,BR-CE,792.0,19
17329,9626,6,590.0,3540.0,BR-CE,708.0,20
43888,10557,1,190.0,190.0,BR-DF,38.0,21
12609,10809,5,320.0,1600.0,BR-BA,320.0,22
62594,11320,1,300.0,300.0,BR-BR-RR,60.0,23
100481,12119,1,410.0,410.0,BR-CE,82.0,24
6888,12392,3,350.0,1050.0,BR-PE,210.0,25
70813,13009,5,120.0,600.0,BR-PR,120.0,26
14420,13550,2,690.0,1380.0,BR-MA,276.0,27
31651,13792,3,180.0,540.0,BR-PE,108.0,28
75706,15194,5,100.0,500.0,BR-RS,100.0,29
31835,15954,2,399.0,798.0,BR-DF,1596.0,30
17258,16179,6,420.0,2520.0,BR-PA,504.0,31
77558,16504,5,790.0,3950.0,BR-AM,790.0,32
41189,16637,5,160.0,800.0,BR-MS,160.0,33
31651,16781,4,180.0,720.0,BR-MS,144.0,34
4553,16923,2,110.0,220.0,BR-BA,44.0,35
53458,17133,6,450.0,2700.0,BR-PR,540.0,36
89334,18674,3,350.0,1050.0,BR-MG,210.0,37
75706,18823,6,100.0,600.0,BR-PR,120.0,38
57696,19040,6,410.0,2460.0,BR-PE,492.0,39
27546,19990,5,336.0,1680.0,BR-MS,336.0,40
49497,21708,5,320.0,1600.0,BR-SC,320.0,41
14420,21847,2,690.0,1380.0,BR-GO,276.0,42
4553,21923,2,110.0,220.0,BR-SP,44.0,43
6137,23640,5,100.0,500.0,BR-MT,100.0,44
51238,23788,6,410.0,2460.0,BR-PR,492.0,45
98640,23813,2,990.0,1980.0,BR-SE,396.0,46
86845,24839,6,110.0,660.0,BR-SC,132.0,47
83795,24977,1,310.0,310.0,BR-TO,62.0,48
14836,25911,1,1100.0,1100.0,BR-PA,220.0,49
27546,26372,6,336.0,2016.0,BR-MG,4032.0,50
27546,27529,5,336.0,1680.0,BR-AP,336.0,51
5995,27554,3,398.0,1194.0,BR-PR,2388.0,52
22407,28549,1,200.0,200.0,BR-MA,40.0,53
83009,28987,2,280.0,560.0,BR-RJ,112.0,54
74864,31305,5,130.0,650.0,BR-PA,130.0,55
61356,31814,6,390.0,2340.0,BR-AM,468.0,56
93262,32635,6,450.0,2700.0,BR-BA,540.0,57
75706,32705,3,100.0,300.0,BR-PI,60.0,58
17990,33370,6,3800.0,22800.0,BR-SE,4560.0,59
21244,34970,4,1120.0,4480.0,BR-MT,896.0,60
86544,35238,6,50.0,300.0,BR-RO,60.0,61
61356,35535,4,390.0,1560.0,BR-RO,312.0,62
18128,36109,3,795.0,2385.0,BR-CE,477.0,63
13906,36267,6,340.0,2040.0,BR-AP,408.0,64
13906,36626,2,340.0,680.0,BR-PB,136.0,65
57696,37202,5,410.0,2050.0,BR-SC,410.0,66
7193,37450,3,320.0,960.0,BR-PE,192.0,67
17329,39103,3,590.0,1770.0,BR-MS,354.0,68
45979,39279,1,280.0,280.0,BR-CE,56.0,69
71770,39502,2,530.0,1060.0,BR-CE,212.0,70
61356,39834,1,390.0,390.0,BR-SP,78.0,71
4835,40610,4,560.0,2240.0,BR-PA,448.0,72
74864,42139,5,130.0,650.0,BR-GO,130.0,73
12895,42363,6,2600.0,15600.0,BR-PR,3120.0,74
19432,42734,2,190.0,380.0,BR-AM,76.0,75
37384,42852,3,700.0,2100.0,BR-MA,420.0,76
80644,42990,4,990.0,3960.0,BR-CE,792.0,77
