pedido_id,produto_id,vendedor_id,data_compra,total
1,5292,2,16/02/2020,3456.0
3,29650,3,01/02/2020,720.0
9,18751,5,04/02/2021,5940.0
11,7871,3,01/12/2019,2520.0
21,2706,3,03/01/2020,2950.0
23,21429,0,16/12/2020,2340.0
27,27659,5,15/08/2019,840.0
31,30263,1,27/05/2020,675.0
46,71190,4,21/11/2020,1440.0
47,17990,5,04/04/2020,3800.0
49,7193,3,25/10/2020,320.0
52,74864,5,17/05/2020,520.0
58,72667,4,28/03/2019,695.0
68,51,5,19/02/2021,2050.0
95,24159,3,01/02/2020,810.0
106,75557,1,08/05/2020,360.0
107,41189,2,17/01/2020,800.0
114,88368,3,23/04/2020,250.0
117,39814,2,13/09/2020,1560.0
128,100484,4,27/05/2020,960.0
129,8456,5,25/03/2020,2160.0
135,9397,2,30/11/2020,345.0
136,70240,2,16/09/2020,1450.0
138,5412,3,24/11/2019,788.0
143,4553,5,06/06/2019,110.0
146,7193,4,15/10/2020,960.0
167,7193,1,21/05/2020,1920.0
171,16634,5,21/12/2020,960.0
173,66539,5,21/11/2020,399.0
178,47405,5,13/12/2020,1240.0
191,7729,3,14/03/2019,1440.0
194,70673,1,08/05/2019,1050.0
198,5412,3,20/07/2020,4728.0
199,8456,5,25/12/2019,1440.0
202,100939,1,22/09/2020,310.0
210,10086,1,25/02/2020,4500.0
218,66539,1,27/02/2019,399.0
220,8691,4,04/02/2021,1080.0
228,85154,3,27/02/2019,2100.0
230,48483,5,20/03/2020,400.0
238,75557,1,30/09/2020,540.0
239,67445,5,15/01/2021,1920.0
258,66135,4,08/02/2019,980.0
263,74864,3,04/09/2020,650.0
266,71190,1,15/01/2021,360.0
268,3451,5,28/03/2019,1500.0
289,100939,1,30/03/2020,620.0
310,71770,5,25/08/2019,3180.0
317,75706,3,08/12/2020,200.0
318,8456,1,25/08/2019,1800.0
335,7871,1,21/12/2020,1260.0
339,81822,1,13/12/2020,780.0
341,41518,5,05/01/2019,780.0
346,6137,2,20/07/2020,600.0
350,12895,5,06/08/2019,2600.0
354,8707,3,19/07/2019,600.0
356,56571,1,25/12/2019,420.0
359,71946,4,06/06/2019,580.0
361,12812,5,19/11/2019,1280.0
363,88368,2,30/11/2020,750.0
367,22407,2,13/02/2021,1000.0
370,28699,1,25/07/2020,1680.0
